"","x"
"2782","有一个村庄，听说山贼将要来袭，因此村里人就把年轻的女人都藏进地窖。一个正哆嗦着环顾四周的年轻女人，突然发现一个六、七十的老太混在其中。于是，她和老太说：“老太太，您其实不用上这儿躲着的呀！”老太太愤然答曰：“你这人咋说话的？山贼中也有年老的。”"
"2783","昨晚和媳妇去酒吧。出来的时候，媳妇说明天想买双凉鞋，要500大洋。媳妇可怜巴巴的看着我说：“小哥，给500块钱，今晚我就跟你走……”小哥很阔气的说了一句：“200。”媳妇死活不从，跟我讨价还价。小哥立场坚定。结果旁边一陌生哥们直勾勾的走过来 ，给我媳妇500块钱…"
"2784","本人实习护士。今天上班期间。值班医生坐电梯上来，老师说了一句：“哎呀，小欧，你怎么好意思自己坐电梯上来，多浪费电埃”"
"2785","开着拉灰车从山上下来，一老头打车，可是驾驶室有两个运货的只能让他坐后车厢，走了几个小时终于到了目的地，一拉把灰卸了下来，忘了车后厢还有人，一下惊了我一跳，我赶忙跑到后边，老头灰头土脸从里面爬出来说：“小伙子不好意思，我刚才下车时一不小心把你的车厢给踩翻了。”"
"2786","问：“现在男友大我七岁 ，家人还不知道，好怕他们不同意，可是好爱他。我94的。”神回复：“坚持自由爱情，摒弃世俗观念。请支持这对101岁和94岁老人的黄昏恋。”"
"2787","记者采访一分管经济的官员：“上有人传言，说您根本就不识数，您对此有何看法？”官员鄙夷地伸出三个手指：“我只想对他们说五个字——一派胡言！”"
"2788","一男一女周一上班同时迟到，结果男被扣发奖金，女却安然无恙。男职员很不服气，跑去质问女职员：“我迟到挨罚，是因为睡过头了，你同样迟到，为什么没挨罚？”“我睡过头儿了。”女职员答。"
"2789","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2790","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2791","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2792","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2793","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2794","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2795","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2796","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2797","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2798","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2799","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2800","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2801","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2802","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2803","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2804","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2805","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2806","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2807","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2808","中央八项规定出台后，领导对秘书说，把这次会议讲话材料修改一下，去掉套话空话废话大话，留下实话就行。秘书仔细斟酌推敲，去掉了套话500字，去掉了空话400字，去掉了废话300字，又去掉了大话200字。改完后交给了领导。领导一看，整篇材料就剩一句话：“会后，请大家到三楼餐厅用餐。”"
"2809","刚入伍的时候指导员都问我们是不是自愿来当兵的，纷纷都说自愿的，一爽快哥们说:“我妈强迫的”！指导员问他怎么不反抗，他说:“我妈说这里很少见到女人，吃饭睡觉都是和男人在一起，我立马答应了”！后来指导员经常单独找他做思想工作。"
"2810","碰友曾在KTV上班，他安排陪唱进包厢。一晚两个男人很是挑剔，连连换人，很是郁闷。于是，拿出压箱底的美女，他跟在后面只见那美女已经掉头回来了，他顿时失控到：“你跑什么啊？”美女大喘了几下惊恐的说：“是我爸和我舅。”"
"2811","乾隆下江南，乌龟挡道。乾隆问：“王八们有何事上奏？”乌龟道：“我等有王八蛋进贡，欲求乌纱帽！”乾隆大笑：“好，哪日灯头朝下时，就让你等全部当官。”乌龟们扣谢。乾隆笑道：“这帮蠢王八，油灯烛头什么时候可以朝下？”转眼300年后，电灯取代了蜡烛，于是，君无戏言，这些乌龟果真全部当了官。"
"2812","从火腿里，我们认识了敌敌畏；从咸鸭蛋里，我们认识了苏丹红；从火锅里，我们认识了福尔马林；从银耳里，我们认识了硫磺；从木耳中认识了硫酸铜；从牛奶里认识了三聚氰胺；从双汇里，认识了瘦肉精；在茅台里，我们认识了塑化剂；从大米里，我们认识了镉。我们在食品中顺利完成了化学扫盲。"
"2813","记得我初中同学，有次因打架被校长谈话，同学态度桀骜不顺，于是被通知叫家长，结果是同学妈妈来的。校长：“是你”？“是我”，“那他是……”？“嗯！就是”“原来是我的错……”"
"2814","某日，一女遇劫匪，颤抖曰：“俺是大学生，刚刚丢了工作，新工作又没找到，真的没有钱……”劫匪听后竟然痛哭流涕：“妹子，俺也是大学生，你拿好毕业证，前面抢劫的还是大学生，你放心，我们绝不抢自己人！”之后，此女一路出示毕业证，均平安无事。最后碰到一个瘦骨嶙峋的劫匪，硬不放她过去。一番纠缠后，劫匪有气无力的说：“就随便打发点也好！我饿得~~快~~快~不行了~！”话音刚落，晕倒在地。女抱起劫匪嚎啕大哭：“我们大学生咋就这么命苦呀！”......"
"2815","旅客去瑞士滑雪，一下飞机，头一口气就呛晕菜了。空气太纯了，醉氧！急救车一到，旅客拼着命冲医生喊：“拆那！”医生立马明白了，OK！把氧气袋放掉，接了袋汽车尾气，插上管，然后直接旅客我送回飞机。等飞机在首都机场一落地，舱门一开，旅客一闻，味儿真正！呼吸舒畅，好啦！"
"2816","下午停电，公司放假半天。老婆回到家里，老公躺沙发上看报纸，老婆和女儿玩躲猫猫，老婆躲在窗帘后，然后看到女儿趴在沙发前面，朝黑乎乎的沙发底下说：“阿姨你快出来吧，我看见你了…”"
"2817","初中同学聚会，在KTV，大家都十年没见，所以都十分亲切。只有一二货女，说男友搞地产。各种炫富，还说今晚所有消费全算她的。买单时，她男友接她。看上去50的样子。高潮是我身边一哥们淡定的喊了声：“爸......”"
"2818","他从小一起长大的女孩和他寝室的好兄弟在一起了。尽管很难过，但他还是由衷地祝福他们。平时两人发生争吵，他都会安慰女孩，陪她吃饭逛街看电影最后还劝他们早点和好。终于有天女孩被他感动了：“你为什么要对我这么好？”他想了想认真地回答说：“我只是不想他不快乐。”"
"2819","今天老师把男女各分一组，玩“你划我猜”这个游戏，轮到女生们猜了，糖糖为了不为难她们，写了“电影院”三个字。糖糖还在下面提示说：情侣最常去的地方。只听见上面女生一致的说出“旅店”。"
"2820","深夜，出差的小张给妻子电话：“我有个重要文件寄到家的，收到了么？”妻子：“早上就收到了。”“真的么，这么快？”“当然啦！你怎么能怀疑我呢？等着 ，我让旁边快递和你说……”"
"2821","看到小侄女，老夫第一句话就是：“考的怎么样啊？”我要把这种痛苦一代一代传承下去。小侄女答道：我和男朋友都没考好。叔叔你女朋友呢？我听完后，伸出手来轻轻地捏了一下小侄女的脸，然后微笑说：“她刚刚亲了你一下......”"
"2822","当年，所有老师都已经放弃了我，只有英语老师默默关心我，叫我不要放弃。记得有一次她问我：“孩子，将来你长大了想干什么？”我看着她那傲人的双峰和俊俏的脸蛋，回答：“老师。”她微微一笑：“加油，你一定会实现的。”我点点头，经过不断努力，多年后我终于娶了个老师。"
"2823","公司组织KTV，六个男同胞，突觉没有女的，同事A拿起电话呼叫一女纸前来“暖场”，电话扩音，A：“过来唱歌。”女纸曰：“你那边几个人！”A：“六个帅哥！”女纸：“你们三对情侣，我去凑什么热闹啊……”众人当时就黑线了"
"2824","市长在以百米90秒的速度带球前进，突然防守队员在十米外被晃倒，上来铲球的队员在市长身旁三米远的草皮上滑出一道痕迹，守门员大喊一声不要射左边然后提前十秒鱼跃向右边门柱救球，己方队员站在中圈内列队鼓掌，裁判用浑厚的低音喊道：“下面有请市长进球。”"
"2825","小明跟小红是同桌，一天，小明向小红借一支笔，小红说“不借”“借给我你会死呀！”然后，小红说“哦，那借你吧！”当小明把笔还小红时，小红真的死了。"
"2826","一对新婚夫妇二人洞房对话。女：“要是孩子以后长得像你，你就死定了。”男：“要是孩子以后长得不像我，你就死定了。”"
"2827","我是一个dnf的玩家，一天我看见我同学在谈dnf.我就去和他一起聊。我说：“谈dnf呢！”我同学说：“我们在说地下城，鬼和你去玩dnf！我顿时晕倒。”"
"2828","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2829","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2830","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2831","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2832","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2833","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2834","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2835","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2836","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2837","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2838","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2839","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2840","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2841","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2842","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2843","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2844","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2845","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2846","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2847","明明终于做了这个决定，勇敢向爸爸坦白自己是gay的事实，“爸爸，你知道同性恋吗，其实…”，爸爸一眼看穿我的心思，吐出闷在嘴里的烟，泯灭烟头：“儿子，你妈身体不好，这事就别跟你妈说了，我明天就跟你刘叔断绝关系你替我保密好吗？”"
"2848","一次和女友住宾馆，一进宾馆女友就指着衣柜说：“老公，这个柜子好，以后咱家也买这样的。”我当时顺口就说：“嗯，可以藏好几个人呢！”"
"2849","一男孩被他爸爸打了，他向妈妈哭诉：“妈，如果有人打你儿子你会怎么办？”妈妈：“那我也去打他儿子！”儿子一脸苦笑：“如果打我的是爸爸呢？”妈妈：“那我打你大哥去！”儿子：“哥哥又没错，为什么要打哥哥？”妈妈：“因为你哥才是你爸的亲生儿子！”"
"2850","快男总决赛，评委的意见都不统一，争论很久都没有确定总冠应该给谁。主持人：“既然评委老师有争议，那我们就听听在场观众的意见吧。”一位观众站起来，说道：“真正的快男不在这里，我知道有一位候选人，他当快男的总冠军，绝对是实至名归，世界公认。”众评委：“谁啊？”观众：“12秒的雷政富！”"
"2851","一美国人到中国旅游，用20万美元换134万人民币，100万买一单身公寓，34万吃喝玩乐一年。第二年要回去时房子涨了卖了200万，人民币兑美元升值到1:5，200万人民币换回40万美元。美国人白玩一年还倒挣20万美元，高兴地回家了。神回复：不过后来他得了癌症，因为他在中国吃的喝的呼吸的都有毒…"
"2852","我寝室一哥们问我：“我喜欢上一个人了，怎么让他知道呢？”我自信满满地告诉他：“你偷她一件东西，等她焦急寻找就是找不到时，你突然拿出来，说你在找这个吗，我在……捡到的，这样你俩就搭上茬了”。他突然对我红着脸微微一笑。结果第二天我在他柜子里找到了我的内裤……"
"2853","紫薇：“小燕子，我到底做错了什么？为什么尔康他不想见我？”尔康在不远处对永琪说：“你看，我说她脑子有问题吧，整天和一只鸟说个啥？”"
"2854","某小学建校舍缺钱，逼学生捐钱：最低捐5元，不捐不给戴红领巾。对于强捐，大部分学生们都没有就范，因为老百姓过本命年，都时兴穿红裤衩，这玩意家家都有埃校方不给红领巾，把红裤衩拿来裁缝一番全齐了。校长感叹：“红领巾本是烈士鲜血染成的，现在学生脖子系的山寨领巾，谁知道是啥东西染红的！”"
"2855","导演叫我去和一日本女演员拍场床戏，但我不愿意。导演就说道：“兄弟啊，你抵制日货可以，但也用不着抵制日人吧？”"
"2856","邻居看到我在打孩子，忙上前来制止我，我满不在乎的微微笑道：“怕啥的，下雨天打孩子，闲着也是闲着，玩呗。”“那你他妈的打我儿子干啥！”"
"2857","我刚刚肯德基买东西，我说一个香辣汉堡，服务员问我要辣的不辣的，我说不辣的，她说没有了，我有说那辣的好了，服务员说：“没有。”我真想说你没有说这么多干嘛。"
"2858","  半夜醒来看见满身是血的爸爸站在我面前，被吓了个半死之后听见爸爸豪放的笑声，我投去了鄙夷的目光：“不带这么玩儿的爸，人吓人是要吓死人的。”爸爸咧嘴冷笑了一下说：“我这是在卖萌。”"
"2859","那天上课，同学甲说：“我不是人，我是神。”同学乙说：“我是神他爹。”同学丙淡淡飘来一句：“我是这俩人大夫！”"
"2860","今天天气爆热，跟朋友去水上游乐场玩，为了图便宜就没买泳衣，穿的裤头下去的，玩大滑梯的 时候直接把裤头冲走了有木有，蹲水里不起来摸裤头。是岸边救生员以为我溺水了，玩命的把我往外拉，不说了，说多了都是泪。"
"2861","在理发店，剪到前面头帘的时候我下意识地闭上了眼睛，这时脑海中突然闪现出一个奇怪的念头：他不会吻我吧？"
"2862","刚才看新闻的时候下面出现滚动条：写着防晒小妙招，不要在上午和下午出门。我他妈快被这个秒招蠢哭了好嘛。"
"2863","表哥在外地打工，坐火车回老家。刚上车，看见一哥们坐了他的位置，于是礼貌的说，大哥这是我的座位，没想到这家伙看了眼车票又看了下自己的座位号，大发雷霆，你瞎啊，长眼睛没。表哥忧伤的看了看他没做声，等站了两站，看那哥们快睡着了，轻轻把他拍醒，悠悠的说，大哥你好像坐错火车了。"
"2864","我要你只注视着我！不要有一丝一毫的游离,不要躲避我热切的视线！哪怕你只侧目一刹那！转头一瞬间！我的嫉妒之火，情仇之焰,便会熊熊而燃！我要你做我的奴，奢享你冰肌玉骨的缠绵！我要你为我的王，我称颂你千里快哉的风范！我要你属于我！属于我！我要你注视我！注视我！别摇头！答应我！电风扇！"
"2865","被男生问“有男朋友吗？”我惊讶了下回答“诶？还没有”他笑着说“太好了！” 难道我久违的爱情要来了？！！只听接下来男生说道：“我刚还在想，如果像你这等级的都有男朋友这世界就要毁灭了啊，幸好你没有。”我拯救了世界真是太好了！"
"2866","一天小明逛夜市，看到条项链问摊主：“这个怎么卖。”摊主说：“380这个是真金的。”小明还价：“10块。”摊主说：“看清楚啊这个是真金。”小明不屑的说：“10块。”摊主无奈的答道：“好吧！看你那么执着卖你吧。”小明阴险的说：“我不买，就练练砍价。”摊主：“有本事别跑，看劳资不砍死你。"
"2867","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2868","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2869","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2870","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2871","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2872","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2873","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2874","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2875","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2876","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2877","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2878","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2879","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2880","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2881","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2882","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2883","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2884","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2885","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2886","小银过河，故意把老婆推进河里。河神出来了，捞出一头猪问：“这是你的吗？”“不是。”又捞出一头河马问：“这是你的吗？”“ 不是。”河神说：“那我就帮不了你了，还有一只，实在捞不动。”  "
"2887","站着说话不腰疼的一般都是胖子，因为我们没腰。"
